angle	SFsq	LP	TF	A	P	Pstar	S
-1.217	153.28919731252248	17729.518892812994	0.9997758436878857	1.0	2717134.520407	-4.458264475958605E-4	1.0
-1.202	153.31636267278063	18174.83897409298	0.999781334461354	1.0	2785890.892103455	-4.458820661390358E-4	1.0
-1.187	153.34320348111203	18637.14790152939	0.9997867571787685	1.0	2857270.5405857563	-4.4593697479836103E-4	1.0
-1.172	153.36971928347464	19117.320953833085	0.99979211183865	1.0	2931408.6162796062	-4.459911743242945E-4	1.0
-1.157	153.39590963101756	19616.290513229487	0.9997973984395375	1.0	3008449.086869552	-4.460446654580279E-4	1.0
-1.142	153.42177408009968	20135.05059504181	0.999802616979989	1.0	3088545.436704482	-4.460974489314807E-4	1.0
-1.128	153.44561981291025	20638.016714754	0.9998074262108493	1.0	3166203.421274366	-4.461460756775032E-4	1.0
-1.113	153.47085295312027	21198.109313399185	0.9998125131637701	1.0	3252681.967911945	-4.4619749304864554E-4	1.0
-1.098	153.49575892375333	21781.31297113256	0.9998175320521311	1.0	3342729.1126233432	-4.4624820485292385E-4	1.0
-1.083	153.52033730183894	22388.916906172024	0.999822482874563	1.0	3436543.9215472494	-4.462982117857298E-4	1.0
-1.068	153.54458766970617	23022.301503188155	0.9998273656297152	1.0	3534339.5376834357	-4.4634751453315446E-4	1.0
-1.054	153.56692504442853	23638.023877369378	0.9998318614548695	1.0	3629408.294921305	-4.463928956962294E-4	1.0
-1.039	153.5905400946608	24325.540840475915	0.9998366126095198	1.0	3735562.512233797	-4.4644083892943074E-4	1.0
-1.024	153.61382594024516	25043.49171084513	0.9998412956930355	1.0	3846416.036919022	-4.464880799360787E-4	1.0
-1.009	153.63678218452395	25793.699622478576	0.9998459107041386	1.0	3962250.376169054	-4.465346193656294E-4	1.0
-0.994	153.65940843622354	26578.126300172924	0.9998504576415703	1.0	4083368.4367517503	-4.465804578582122E-4	1.0
-0.979	153.68170430947126	27398.88489689871	0.9998549365040899	1.0	4210096.507209297	-4.46625596044624E-4	1.0
-0.965	153.70221538068034	28199.713422830875	0.9998590553559981	1.0	4333747.521584057	-4.466670937351909E-4	1.0
-0.95	153.72387144824282	29097.335341395647	0.9998634026035722	1.0	4472344.043494655	-4.4671087975028153E-4	1.0
-0.935	153.74519603676882	30038.503943010706	0.9998676817727025	1.0	4617664.595318633	-4.4675396725565576E-4	1.0
-0.92	153.76618878178363	31026.082259056995	0.9998718928622211	1.0	4770151.253086424	-4.467963568453559E-4	1.0
-0.905	153.7868493242919	32063.172539366882	0.9998760358709793	1.0	4930283.030155158	-4.468380491040681E-4	1.0
-0.891	153.80583246488544	33078.75934741258	0.9998798412541812	1.0	5087094.785948129	-4.4687633323902635E-4	1.0
